順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,秋山　翔吾,西武,.323,143,685,603,195,24,82,15,77,4,96,0,3,.403,.534,.937,8.16,7.77
2,田中　広輔,広島,.262,143,675,572,150,10,60,32,75,17,118,6,6,.362,.383,.745,5.22,5.23
3,源田　壮亮,西武,.278,143,666,594,165,4,57,34,48,4,101,14,7,.333,.374,.707,4.67,4.60
4,山川　穂高,西武,.281,143,647,541,152,47,124,0,88,16,138,0,5,.396,.590,.985,8.54,8.45
5,大島　洋平,中日,.274,141,645,588,161,7,57,21,47,4,80,1,2,.329,.367,.697,4.61,4.59
6,菊池　涼介,広島,.233,139,642,557,130,13,60,10,51,3,111,30,5,.301,.355,.656,3.70,3.68
7,浅村　栄斗,西武,.310,143,640,565,175,32,127,4,68,2,105,0,18,.383,.527,.910,7.05,6.92
8,中村　奨吾,ロッテ,.284,143,639,552,157,8,57,39,60,22,94,0,11,.374,.393,.767,5.51,5.43
9,糸原　健斗,阪神,.286,143,637,531,152,1,35,6,86,7,73,9,5,.390,.362,.752,5.67,5.53
9,山田　哲人,ヤクルト,.315,140,637,524,165,34,89,33,106,4,119,0,8,.432,.582,1.014,9.69,9.36
11,西川　遥輝,日本ハム,.278,140,636,528,147,10,48,44,96,3,103,7,1,.391,.405,.796,6.88,6.70
12,京田　陽太,中日,.235,143,632,578,136,4,44,20,19,6,111,26,12,.266,.306,.572,2.40,2.45
13,岡本　和真,巨人,.309,143,616,540,167,33,100,2,72,4,120,0,11,.394,.541,.935,7.77,7.53
14,藤岡　裕大,ロッテ,.230,143,611,535,123,5,42,14,44,5,97,26,9,.294,.305,.599,2.73,2.77
15,上林　誠知,ソフトバンク,.270,143,608,551,149,22,62,13,30,7,117,17,2,.315,.488,.803,5.51,5.40
16,バレンティン,ヤクルト,.268,142,602,514,138,38,131,1,85,0,121,0,15,.370,.533,.904,6.74,6.74
17,中田　翔,日本ハム,.265,140,599,540,143,25,106,0,43,3,81,0,24,.316,.463,.778,4.59,4.77
18,吉田　正尚,オリックス,.321,143,598,514,165,26,86,3,69,7,74,0,9,.403,.553,.956,8.27,8.02
19,坂口　智隆,ヤクルト,.317,139,595,508,161,3,37,9,75,3,60,7,15,.406,.394,.800,5.94,5.68
20,宮﨑　敏郎,DeNA,.318,142,590,551,175,28,71,0,38,1,45,0,16,.363,.532,.894,6.80,6.49
21,ビシエド,中日,.348,135,582,512,178,26,99,3,51,15,61,0,24,.419,.555,.974,7.91,7.61
22,松田　宣浩,ソフトバンク,.248,143,580,517,128,32,82,3,56,4,113,0,12,.324,.485,.810,5.28,5.35
22,筒香　嘉智,DeNA,.295,139,580,495,146,38,89,0,80,2,107,0,10,.393,.596,.989,8.33,8.12
22,中村　晃,ソフトバンク,.292,136,580,506,148,14,57,1,60,5,68,3,5,.369,.435,.804,6.12,6.02
25,平田　良介,中日,.329,138,568,493,162,9,55,8,67,3,69,2,7,.410,.456,.866,7.16,6.85
26,青木　宣親,ヤクルト,.327,127,567,495,162,10,67,3,51,19,48,0,13,.409,.475,.884,7.18,6.80
27,丸　佳浩,広島,.306,125,566,432,132,39,97,10,130,3,130,0,5,.468,.627,1.096,10.61,10.35
28,鈴木　大地,ロッテ,.266,143,558,477,127,8,49,8,44,17,55,14,11,.346,.398,.744,4.78,4.75
29,近藤　健介,日本ハム,.323,129,555,462,149,9,69,5,87,1,90,0,16,.427,.457,.884,7.43,7.12
30,銀次,楽天,.276,139,552,492,136,5,48,1,48,4,47,6,7,.344,.360,.704,4.61,4.51
30,森　友哉,西武,.275,136,552,473,130,16,80,7,70,2,105,0,3,.366,.457,.823,6.38,6.33
32,西浦　直亨,ヤクルト,.242,138,550,479,116,10,55,1,40,8,88,20,10,.309,.363,.673,3.67,3.67
32,柳田　悠岐,ソフトバンク,.352,130,550,475,167,36,102,21,62,8,105,0,8,.431,.661,1.092,10.41,10.02
34,井上　晴哉,ロッテ,.292,133,548,476,139,24,99,1,63,3,106,0,7,.374,.506,.880,6.99,6.94
35,マギー,巨人,.285,132,547,499,142,21,84,2,41,1,92,0,12,.336,.467,.803,5.52,5.50
36,アルモンテ,中日,.321,132,546,498,160,15,77,1,44,1,95,0,16,.375,.486,.861,6.43,6.13
37,鈴木　誠也,広島,.320,124,520,422,135,30,94,4,88,5,116,0,4,.438,.618,1.057,10.02,9.75
38,安達　了一,オリックス,.219,140,514,465,102,3,41,20,25,3,64,16,8,.261,.277,.538,2.30,2.44
39,外崎　修汰,西武,.287,119,510,453,130,18,67,25,47,3,102,6,9,.357,.472,.830,5.94,5.81
40,糸井　嘉男,阪神,.308,119,509,419,129,16,68,22,77,8,63,0,9,.420,.480,.900,7.95,7.76
41,レアード,日本ハム,.233,120,505,450,105,26,65,0,44,7,124,0,10,.309,.447,.756,4.60,4.76
42,坂本　勇人,巨人,.345,109,502,441,152,18,67,9,61,0,83,0,4,.424,.537,.962,8.85,8.30
43,ロメロ,オリックス,.237,119,501,443,105,25,63,7,42,10,114,0,10,.313,.451,.765,4.80,4.99
44,福留　孝介,阪神,.280,123,499,414,116,14,72,2,73,5,90,0,10,.389,.454,.843,6.48,6.47
45,福田　永将,中日,.261,133,487,440,115,13,63,0,37,5,119,0,13,.322,.405,.727,4.38,4.42
46,雄平,ヤクルト,.318,125,482,446,142,11,67,6,33,1,62,0,13,.365,.439,.805,5.82,5.57
47,高橋　周平,中日,.254,128,477,433,110,11,69,0,30,3,89,8,9,.305,.400,.704,4.09,4.06
48,田村　龍弘,ロッテ,.239,143,476,415,99,3,35,3,40,3,68,16,13,.309,.328,.636,3.14,3.15
49,角中　勝也,ロッテ,.265,112,470,411,109,7,57,3,48,5,63,0,9,.345,.382,.727,4.69,4.71
50,デスパイネ,ソフトバンク,.238,116,469,407,97,29,74,0,55,4,93,0,13,.333,.494,.826,5.42,5.55
51,今江　年晶,楽天,.276,127,465,421,116,10,49,0,32,7,76,0,19,.334,.397,.731,4.14,4.12
51,田中　和基,楽天,.265,105,465,423,112,18,45,21,37,0,101,4,4,.323,.423,.746,5.00,5.02
53,亀井　善行,巨人,.254,123,461,422,107,13,49,4,36,2,70,0,6,.315,.393,.708,4.47,4.43
54,ロペス,DeNA,.288,110,459,441,127,26,77,0,16,1,58,0,12,.314,.517,.831,5.54,5.44
54,ソト,DeNA,.310,107,459,416,129,41,95,0,29,9,100,0,5,.364,.644,1.008,8.39,8.37
56,梅野　隆太郎,阪神,.259,132,455,386,100,8,47,5,39,1,67,28,6,.328,.396,.724,4.42,4.27
57,島内　宏明,楽天,.292,103,453,394,115,11,53,11,47,6,45,3,10,.373,.431,.805,5.79,5.71
58,中島　卓也,日本ハム,.261,132,449,391,102,1,23,29,35,0,88,22,4,.321,.312,.633,3.81,3.75
59,野間　峻祥,広島,.286,126,447,405,116,5,46,17,30,6,69,4,2,.343,.393,.736,4.95,4.86
60,松山　竜平,広島,.302,124,446,397,120,12,74,2,42,2,46,0,10,.368,.466,.834,6.24,6.07
