順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,山田　哲人,ヤクルト,.324,143,685,596,193,29,89,15,74,8,95,2,10,.403,.539,.941,8.08,7.81
2,今宮　健太,ソフトバンク,.240,144,662,551,132,3,42,10,41,4,104,62,10,.295,.307,.602,2.82,2.82
3,菊池　涼介,広島,.325,144,654,579,188,11,58,23,24,3,79,43,9,.352,.456,.808,5.46,5.22
4,鳥谷　敬,阪神,.313,144,644,550,172,8,73,10,87,2,80,1,14,.406,.415,.820,6.39,6.18
4,丸　佳浩,広島,.310,144,644,536,166,19,67,26,100,4,95,0,12,.419,.491,.910,7.66,7.44
6,栗山　巧,西武,.288,144,642,532,153,3,61,3,96,3,100,2,9,.394,.383,.777,5.96,5.89
6,大島　洋平,中日,.318,141,642,585,186,2,28,28,43,6,56,6,3,.369,.366,.735,5.40,5.20
8,中村　晃,ソフトバンク,.308,143,638,571,176,4,61,10,59,3,61,3,4,.375,.382,.757,5.83,5.60
9,西川　遥輝,日本ハム,.265,143,637,555,147,8,57,43,63,3,139,16,1,.343,.389,.732,5.16,5.03
9,川端　慎吾,ヤクルト,.305,142,637,580,177,10,69,2,43,3,62,8,10,.355,.421,.775,5.44,5.23
11,李　大浩,ソフトバンク,.300,144,625,566,170,19,68,0,46,10,97,0,18,.362,.454,.816,5.64,5.50
12,岡島　豪郎,楽天,.283,142,618,545,154,7,53,9,57,4,71,9,7,.353,.382,.735,4.81,4.71
13,坂本　勇人,巨人,.279,144,616,545,152,16,61,23,55,2,88,9,3,.344,.420,.764,5.54,5.48
13,ゴメス,阪神,.283,143,616,537,152,26,109,1,67,8,166,0,17,.369,.492,.860,6.26,6.19
15,柳田　悠岐,ソフトバンク,.317,144,615,524,166,15,70,33,72,16,131,0,8,.413,.452,.865,7.55,7.31
16,鈴木　大地,ロッテ,.287,144,610,533,153,3,43,7,45,6,57,22,1,.347,.385,.732,5.13,4.97
17,梶谷　隆幸,DeNA,.263,142,609,525,138,16,72,39,70,7,135,3,12,.355,.438,.793,5.68,5.61
18,中田　翔,日本ハム,.269,144,602,531,143,27,100,0,58,6,89,0,12,.344,.456,.800,5.53,5.63
19,安達　了一,オリックス,.259,143,601,486,126,8,50,29,58,8,79,45,8,.345,.356,.701,4.26,4.29
20,上本　博紀,阪神,.276,131,600,515,142,7,38,20,70,6,97,7,7,.368,.390,.758,5.31,5.19
21,雄平,ヤクルト,.316,141,597,547,173,23,90,10,48,1,103,1,11,.372,.505,.877,6.91,6.63
22,ヘルマン,オリックス,.250,141,595,532,133,7,52,30,54,4,95,2,17,.322,.346,.668,3.57,3.58
23,マートン,阪神,.338,142,591,532,180,14,84,2,46,7,64,0,19,.394,.477,.872,6.59,6.33
24,糸井　嘉男,オリックス,.331,140,590,502,166,19,81,31,70,14,73,0,7,.424,.524,.948,8.62,8.23
25,森野　将彦,中日,.288,141,588,507,146,13,86,3,69,1,66,5,20,.370,.432,.802,5.53,5.43
26,ジョーンズ,楽天,.221,138,581,448,99,24,71,2,118,12,140,0,16,.394,.426,.820,5.86,5.99
27,藤田　一也,楽天,.269,144,579,517,139,2,36,3,16,3,55,41,12,.294,.317,.611,2.80,2.75
28,村田　修一,巨人,.256,143,575,519,133,21,68,2,39,13,83,0,22,.322,.410,.732,4.17,4.25
29,ペーニャ,オリックス,.255,140,572,502,128,32,90,2,59,10,124,0,15,.344,.486,.830,5.68,5.67
30,秋山　翔吾,西武,.259,131,561,475,123,4,47,3,70,3,98,11,4,.356,.360,.716,4.82,4.74
31,角中　勝也,ロッテ,.277,133,544,451,125,8,57,9,76,6,66,7,4,.385,.401,.787,6.17,6.09
32,長谷川　勇也,ソフトバンク,.300,135,541,473,142,6,55,7,54,7,95,0,8,.375,.414,.790,5.73,5.62
33,陽　岱鋼,日本ハム,.293,125,540,471,138,25,85,20,45,12,108,9,10,.367,.495,.862,6.41,6.36
34,石川　雄洋,DeNA,.248,138,539,483,120,7,36,9,32,8,98,16,9,.306,.346,.652,3.56,3.52
35,内川　聖一,ソフトバンク,.307,122,534,488,150,18,74,0,34,5,48,0,5,.354,.475,.829,6.36,6.24
36,Ｔ−岡田,オリックス,.269,130,533,472,127,24,75,4,37,17,107,5,10,.343,.481,.824,5.60,5.53
37,ルナ,中日,.317,127,527,467,148,17,73,8,51,5,98,0,11,.387,.501,.888,7.12,6.88
38,阿部　慎之助,巨人,.248,131,526,459,114,19,57,1,58,7,77,0,16,.340,.425,.765,4.74,4.73
39,長野　久義,巨人,.297,130,523,472,140,13,62,8,42,3,75,4,8,.356,.445,.801,5.74,5.56
40,平野　恵一,オリックス,.268,120,517,452,121,1,28,5,37,7,55,19,8,.331,.319,.650,3.76,3.70
41,大引　啓次,日本ハム,.245,132,512,432,106,5,47,21,51,1,98,26,11,.325,.331,.656,3.63,3.64
42,バルディリス,DeNA,.255,139,510,451,115,17,52,0,43,11,66,0,20,.331,.437,.768,4.60,4.62
43,銀次,楽天,.327,117,509,459,150,4,70,1,43,2,45,1,10,.384,.410,.793,5.86,5.62
44,エルドレッド,広島,.260,118,505,454,118,37,104,2,41,7,169,0,8,.329,.544,.873,6.20,6.28
45,浅村　栄斗,西武,.273,118,501,440,120,14,55,3,47,6,100,0,8,.345,.416,.761,5.04,5.15
46,松井　稼頭央,楽天,.291,128,488,444,129,8,46,9,36,1,78,2,9,.342,.430,.772,5.41,5.26
46,平田　良介,中日,.277,119,488,429,119,11,65,7,54,1,65,0,13,.357,.399,.755,5.07,5.06
48,片岡　治大,巨人,.252,126,484,429,108,6,32,24,29,3,51,23,14,.304,.340,.644,3.28,3.22
49,大和,阪神,.264,121,481,398,105,1,24,11,28,4,52,50,7,.318,.319,.637,3.20,3.11
50,クルーズ,ロッテ,.238,126,478,453,108,16,61,1,18,2,47,0,13,.268,.419,.687,3.52,3.59
