順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,菅野　智之,巨人,2.14,28,15,8,0,0,.652,801,202.0,166,14,37,3,200,52,48,1.00,2.62
2,大瀬良　大地,広島,2.62,27,15,7,0,0,.682,727,182.0,143,22,41,4,159,65,53,1.01,3.65
3,則本　昂大,楽天,3.69,27,10,11,0,0,.476,759,180.1,171,18,51,3,187,78,74,1.23,3.21
4,ブキャナン,ヤクルト,4.03,28,10,11,0,0,.476,751,174.1,186,17,53,10,95,85,78,1.37,4.31
5,メッセンジャー,阪神,3.63,28,11,7,0,0,.611,728,173.2,160,13,58,4,149,74,70,1.26,3.41
6,多和田　真三郎,西武,3.81,26,16,5,0,0,.762,730,172.2,173,12,47,11,102,81,73,1.27,3.85
7,ガルシア,中日,2.99,27,13,9,0,0,.591,711,168.2,144,13,73,6,132,60,56,1.29,3.96
8,上沢　直之,日本ハム,3.16,25,11,6,0,0,.647,670,165.1,146,15,38,5,151,62,58,1.11,3.23
9,菊池　雄星,西武,3.08,23,14,4,0,0,.778,654,163.2,124,16,45,4,153,59,56,1.03,3.40
10,西　勇輝,オリックス,3.60,25,10,13,0,0,.435,679,162.1,162,15,36,6,119,66,65,1.22,3.59
11,マルティネス,日本ハム,3.51,25,10,11,0,0,.476,683,161.2,168,16,40,6,93,69,63,1.29,4.05
12,岸　孝之,楽天,2.72,23,11,4,0,0,.733,625,159.0,127,21,29,8,159,52,48,0.98,3.48
13,山口　俊,巨人,3.68,30,9,9,1,1,.500,644,154.0,127,18,60,9,144,66,63,1.21,4.09
13,東　克樹,DeNA,2.45,24,11,5,0,0,.688,626,154.0,130,13,42,2,155,45,42,1.12,3.02
15,涌井　秀章,ロッテ,3.70,22,7,9,0,0,.438,629,150.2,155,16,43,2,99,65,62,1.31,4.00
16,山岡　泰輔,オリックス,3.95,30,7,12,0,4,.368,619,146.0,137,21,49,6,121,71,64,1.27,4.44
17,ジョンソン,広島,3.11,24,11,5,0,0,.688,609,144.2,137,9,48,5,113,55,50,1.28,3.38
18,千賀　滉大,ソフトバンク,3.51,22,13,7,0,0,.650,584,141.0,116,21,58,5,163,57,55,1.23,4.08
19,岡田　明丈,広島,5.09,26,8,7,0,1,.533,603,138.0,137,13,62,4,114,84,78,1.44,4.11
19,バンデンハーク,ソフトバンク,4.30,23,10,7,0,0,.588,585,138.0,113,21,61,10,127,68,66,1.26,4.76
21,石川　歩,ロッテ,3.92,21,9,8,0,0,.529,559,133.1,137,15,29,3,77,61,58,1.25,4.13
22,榎田　大樹,西武,3.32,23,11,4,0,0,.733,566,132.2,132,14,40,14,98,53,49,1.30,4.24
23,岩貞　祐太,阪神,3.48,23,7,10,0,0,.412,554,132.0,128,18,32,1,122,56,51,1.21,3.79
24,石川　柊太,ソフトバンク,3.60,42,13,6,0,6,.684,541,127.1,115,20,43,13,96,55,51,1.24,4.97
25,小野　泰己,阪神,4.77,23,7,7,0,0,.500,573,126.1,133,10,81,3,96,71,67,1.69,4.58
26,吉見　一起,中日,3.87,20,5,7,0,0,.417,516,125.2,136,15,24,4,61,54,54,1.27,4.37
27,武田　翔太,ソフトバンク,4.48,27,4,9,1,0,.308,522,124.2,123,11,37,1,87,67,62,1.28,3.79
28,十亀　剣,西武,4.42,22,5,8,0,0,.385,535,124.1,114,16,56,6,82,65,61,1.37,4.97
29,九里　亜蓮,広島,4.26,24,8,4,0,0,.667,524,120.1,129,13,41,4,86,60,57,1.41,4.19
30,野村　祐輔,広島,4.22,20,7,6,0,0,.538,514,119.1,136,10,30,2,60,62,56,1.39,4.01
31,辛島　航,楽天,4.05,23,4,9,1,0,.308,508,117.2,120,12,46,7,99,55,53,1.41,4.09
31,ボルシンガー,ロッテ,3.06,20,13,2,0,0,.867,477,117.2,100,7,43,1,84,44,40,1.22,3.56
33,アルバース,オリックス,3.08,19,9,2,0,0,.818,455,114.0,105,10,21,2,83,40,39,1.11,3.41
34,加藤　貴之,日本ハム,4.53,26,5,8,0,3,.385,489,113.1,127,9,28,4,82,61,57,1.37,3.55
35,原　樹理,ヤクルト,3.09,30,6,7,0,1,.462,461,110.2,102,3,31,3,93,48,38,1.20,2.71
35,石川　雅規,ヤクルト,4.88,22,7,6,0,0,.538,488,110.2,121,19,41,4,78,70,60,1.46,5.14
35,有原　航平,日本ハム,4.55,20,8,5,2,1,.615,471,110.2,124,17,15,5,87,60,56,1.26,4.09
38,高梨　裕稔,日本ハム,4.50,18,5,7,0,0,.417,459,110.0,110,21,28,3,78,61,55,1.25,5.00
39,笠原　祥太郎,中日,4.14,20,6,4,0,0,.600,479,108.2,100,12,49,6,88,52,50,1.37,4.43
40,小川　泰弘,ヤクルト,2.75,18,8,5,0,0,.615,450,108.0,109,9,24,1,94,36,33,1.23,3.10
41,小笠原　慎之介,中日,4.11,17,5,6,0,0,.455,466,107.1,108,15,47,3,73,53,49,1.44,4.97
42,有吉　優樹,ロッテ,3.74,29,6,5,0,2,.545,462,106.0,118,15,31,4,54,50,44,1.41,4.90
43,秋山　拓巳,阪神,3.86,17,5,10,0,0,.333,437,105.0,111,8,18,4,89,46,45,1.23,3.04
44,東浜　巨,ソフトバンク,3.32,17,7,5,0,0,.583,425,103.0,91,15,32,3,83,42,38,1.19,4.42
45,吉川　光夫,巨人,4.26,22,6,7,0,0,.462,431,101.1,93,16,39,4,76,49,48,1.30,4.95
46,二木　康太,ロッテ,3.93,16,4,7,0,0,.364,416,100.2,90,9,35,2,90,49,44,1.24,3.57
47,金子　千尋,オリックス,3.87,17,4,7,0,0,.364,430,100.0,97,11,35,3,72,47,43,1.32,4.25
48,ディクソン,オリックス,3.55,18,4,6,0,0,.400,414,99.0,90,7,30,5,84,40,39,1.21,3.40
49,古川　侑利,楽天,4.13,18,4,9,0,0,.308,419,98.0,93,11,46,1,77,46,45,1.42,4.42
50,カラシティー,ヤクルト,4.18,32,7,3,3,1,.700,420,94.2,89,7,43,4,73,53,44,1.39,4.00
