順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,ダルビッシュ　有,日本ハム,1.44,28,18,6,0,0,.750,885,232.0,156,5,36,6,276,42,37,0.83,1.56
2,田中　将大,楽天,1.27,27,19,5,0,0,.792,866,226.1,171,8,27,5,241,35,32,0.87,1.87
3,前田　健太,広島,2.46,31,10,12,0,0,.455,864,216.0,178,14,43,6,192,61,59,1.02,2.87
4,ネルソン,中日,2.54,31,10,14,0,0,.417,840,209.1,171,12,49,6,149,63,59,1.05,3.19
5,バリントン,広島,2.42,30,13,11,0,0,.542,832,204.1,183,8,43,18,136,61,55,1.11,3.15
6,能見　篤史,阪神,2.52,29,12,9,0,1,.571,799,200.1,151,8,55,6,186,59,56,1.03,2.62
7,澤村　拓一,巨人,2.03,29,11,11,0,0,.500,786,200.0,149,14,45,5,174,53,45,0.97,3.03
8,吉見　一起,中日,1.65,26,18,3,0,0,.857,734,190.2,143,8,23,4,120,38,35,0.87,2.82
9,成瀬　善久,ロッテ,3.27,26,10,12,0,0,.455,765,189.2,188,15,18,1,151,75,69,1.09,2.86
10,内海　哲也,巨人,1.70,28,18,5,0,0,.783,751,185.2,153,13,47,7,144,42,35,1.08,3.32
11,和田　毅,ソフトバンク,1.51,26,16,5,0,0,.762,726,184.2,145,7,40,4,168,33,31,1.00,2.51
12,館山　昌平,ヤクルト,2.04,26,11,5,0,1,.688,699,180.2,146,12,29,6,130,43,41,0.97,3.11
13,石川　雅規,ヤクルト,2.73,27,10,9,0,0,.526,731,178.1,168,18,42,5,127,57,54,1.18,3.76
13,涌井　秀章,西武,2.93,26,9,12,0,0,.429,744,178.1,184,9,41,8,108,71,58,1.26,3.39
15,攝津　正,ソフトバンク,2.79,26,14,8,0,0,.636,699,177.2,148,10,31,6,150,57,55,1.01,2.77
16,高崎　健太郎,横浜,3.45,29,5,15,0,0,.250,739,177.1,182,9,36,2,127,71,68,1.23,2.99
17,ホールトン,ソフトバンク,2.19,26,19,6,0,0,.760,680,172.1,132,8,36,7,121,43,42,0.97,3.07
18,杉内　俊哉,ソフトバンク,1.94,23,8,7,0,0,.533,676,171.1,122,8,49,8,177,40,37,1.00,2.64
19,寺原　隼人,オリックス,3.06,25,12,10,0,0,.545,705,170.1,162,4,43,3,112,67,58,1.20,2.92
20,岩田　稔,阪神,2.29,25,9,13,0,0,.409,673,169.0,121,7,45,8,133,47,43,0.98,2.94
21,帆足　和幸,西武,2.83,26,9,6,0,0,.600,691,168.2,172,10,34,8,102,59,53,1.22,3.41
22,唐川　侑己,ロッテ,2.41,24,12,6,0,0,.667,681,168.1,146,6,35,8,122,50,45,1.08,2.90
23,チェン,中日,2.68,25,8,10,0,0,.444,659,164.2,138,9,31,5,94,57,49,1.03,3.31
23,武田　勝,日本ハム,2.46,25,11,12,0,0,.478,647,164.2,143,7,18,3,87,51,45,0.98,3.00
25,ケッペル,日本ハム,3.22,26,14,6,0,0,.700,695,162.0,162,10,56,12,66,66,58,1.35,4.35
26,東野　峻,巨人,3.47,31,8,11,2,0,.421,670,161.0,141,7,55,5,115,72,62,1.22,3.32
27,中山　慎也,オリックス,2.94,28,8,9,1,0,.471,660,156.1,128,11,69,5,119,58,51,1.26,3.93
28,金子　千尋,オリックス,2.43,20,10,4,0,0,.714,613,155.1,126,9,38,2,123,45,42,1.06,3.02
29,塩見　貴洋,楽天,2.85,24,9,9,0,0,.500,638,154.2,144,14,34,2,113,53,49,1.15,3.53
30,スタンリッジ,阪神,2.92,25,9,7,0,0,.563,634,151.0,136,9,46,11,116,50,49,1.21,3.43
31,ウルフ,日本ハム,3.60,26,12,11,0,0,.522,645,150.0,161,4,36,11,90,64,60,1.31,3.17
31,メッセンジャー,阪神,2.88,25,12,7,0,0,.632,616,150.0,129,6,45,3,122,50,48,1.16,2.91
33,福井　優也,広島,4.12,27,8,10,0,0,.444,640,146.1,133,14,68,8,120,76,67,1.37,4.28
34,西口　文也,西武,2.57,22,11,7,0,0,.611,566,140.0,104,5,41,8,104,44,40,1.04,3.13
35,岸　孝之,西武,3.80,21,8,9,0,0,.471,564,135.0,131,12,39,3,106,65,57,1.26,3.62
36,増渕　竜義,ヤクルト,4.22,27,7,11,0,0,.389,575,134.1,140,8,46,7,91,64,63,1.38,3.72
37,渡辺　俊介,ロッテ,3.68,24,7,9,0,0,.438,566,132.0,139,11,39,6,43,58,54,1.35,4.57
38,西　勇輝,オリックス,3.03,25,10,7,1,0,.588,537,130.2,109,8,26,16,106,49,44,1.03,3.26
39,牧田　和久,西武,2.61,55,5,7,22,1,.417,510,127.2,105,5,16,9,86,39,37,0.95,2.85
40,フィガロ,オリックス,3.42,24,8,6,0,0,.571,524,123.2,126,7,36,3,90,49,47,1.31,3.35
41,西村　健太朗,巨人,1.82,37,7,5,0,4,.583,504,123.1,100,7,39,6,91,30,25,1.13,3.40
42,大谷　智久,ロッテ,3.38,34,3,9,0,5,.250,497,120.0,123,8,23,3,78,49,45,1.22,3.31
43,岩隈　久志,楽天,2.42,17,6,7,0,0,.462,471,119.0,106,6,19,5,90,34,32,1.05,2.87
44,石井　一久,西武,4.31,23,6,9,0,1,.400,507,117.0,122,7,32,10,94,61,56,1.32,3.37
45,三浦　大輔,横浜,2.91,18,5,6,0,0,.455,463,111.1,96,9,31,7,74,39,36,1.14,3.81
46,山田　大樹,ソフトバンク,2.85,17,7,7,0,0,.500,446,110.2,88,7,33,5,67,38,35,1.09,3.76
47,久保　康友,阪神,3.78,20,8,8,0,0,.500,471,109.2,108,10,36,4,73,53,46,1.31,4.01
48,斎藤　佑樹,日本ハム,2.69,19,6,6,0,0,.500,472,107.0,122,5,35,5,62,41,32,1.47,3.66
49,永井　怜,楽天,2.81,16,4,5,0,0,.444,420,102.2,92,10,26,3,77,39,32,1.15,3.73
50,由規,ヤクルト,2.86,15,7,6,0,0,.538,425,100.2,84,6,41,8,83,34,32,1.24,3.68
